Проект,,Видео плеер на YouTube,
Дата,,17.04.2026,
Тестировщик,,Яковлева М.В.,
Предусловия,,"Открыта страница видео на youtube.com
 (https://www.youtube.com/watch?v=hc8r0P7mQWQ)",
Окружение,,"Windows 10 Pro, Chrome 147.0.7727.56, 1920×1080",
Вид тестирования,,Smoke testing,
Номер,Проверки,Статус,Комментарий
Запуск видео,,,
1,Запуск и остановка видео с помощью горячих кнопок,,
2,Запуск и остановка видео через плеер,,
3,Проверка автовоспроизведения,,
Перемотка видео,,,
4,Перемотка видео с помощью горячих кнопок,,
5,Перемотка видео через шкалу перемотки,,
6,Предпросмотр видео при наведении на шкалу перемотки,,
Управление громкостью,,,
7,Изменение громкости звука через настройки плеера,,
8,Изменение громкости звука с помощью горячих кнопок,,
Меню настроек,,,
9,Переключение усиления голоса,,
10,Переключение аннотаций,,
11,Переключение профессионального освещения,,
12,Отображение субтитров,,
13,Переключение скорости воспроизведения,,
14,Переключение качества видео,,
Настройки интерфейса,,,
15,Просмотр списка эпизодов,,
16,Отображение широкого экрана,,
