Test Suite ID,Test Case ID,Priority,Module,Summary,Preconditions,Test data,Steps,Expected Result,Remarks
Функциональные проверки,,,,,,,,,
TS-01,TC-01,High,Форма авторизации,Успешная авторизация с использованием валидных данных,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": user5@yandex.ru
    
2. Поле ""Пароль"": user535
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в системе. Отображен личный кабинет пользователя",
,TC-02,High,Форма авторизации,Неуспешная авторизация незарегистрированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Поле ""Логин"": user9@yandex.ru
    
2. Поле ""Пароль"": user939
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Сообщение об ошибке: ""Неверный email или пароль"". Авторизация не выполнена",
,TC-03,Medium,Форма авторизации,Неуспешная авторизация c незаполненными полями,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе",,"1. Оставить пустым значение в поле ""Логин""; 
2. Оставить пустым значение в поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Сообщение об ошибке: ""Поле ""Логин"" должно быть заполнено"";
2. Сообщение об ошибке: ""Поле ""Пароль"" должно быть заполнено"";
3. Авторизация не выполнена",
,TC-04,Medium,Форма авторизации,"Неуспешная авторизация c незаполненным полем ""Пароль""","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": user9@yandex.ru
    

   ","1. Ввести значение из тестовых данных в поле ""Логин"";
2. Оставить пустым значение в поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Введенное значение отображено в поле ""Логин"";
2. Сообщение об ошибке: ""Поле ""Пароль"" должно быть заполненно"";
3. Авторизация не выполнена",
,TC-05,Medium,Форма авторизации,"Неуспешная авторизация с использованием email, содержащего пробел","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": 
user5 @yandex.ru
    
2. Поле ""Пароль"": user535
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Сообщение об ошибке: ""Часть адреса до символа ""@"" не должна содержать "" "";
2. Введенное значение отображено в поле ""Пароль"";
3. Авторизация не выполнена",
,TC-06,Medium,Форма авторизации,Отказ в авторизации заблокированного пользователя,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь заблокирован","1. Поле ""Логин"": 
user5 @yandex.ru
    
2. Поле ""Пароль"": user535
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Сообщение об ошибке: ""Пользователь заблокирован. Для восстановления доступа необходимо обратиться в службу поддержки""",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Нефункциональные проверки,,,,,,,,,
Тестирование пользовательского интерфейса,,,,,,,,,
,TC-09,Low,Форма авторизации,"Изменение цвета кнопки ""Войти"" при наведении курсора","1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя",,"1. Навести курсор на кнопку ""Войти""","1. Цвет кнопки ""Войти"" изменен на темно-синий. Текст ""Войти"" становится белым",
,TC-10,Low,Форма авторизации,"Изменение вида курсора при наведении на кнопку ""Войти"" ",,,"1. Навести курсор на кнопку ""Войти""",1. Вид курсора меняется на указатель,
,,,,,,,,,
Тестирование производительности,,,,,,,,,
,ТС-11,High,Форма авторизации,Время отклика формы авторизации,"1. Открыт сайт ""Название""
",,1. Открыть форму авторизации пользователя,Страница формы авторизации загружается менее чем за 2 секунды,
,ТС-12,High,Форма авторизации,Время отклика при возникновении ошибок авторизации,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь не зарегистрирован в системе","1. Введенное значение отображено в поле ""Логин"";
2. Сообщение об ошибке: ""Поле ""Пароль"" должно быть заполнено"";
3. Авторизация не выполнена","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Войти""
","Сообщение об ошибке ""Неверный email или пароль"" появляется менее чем за 2 секунды",
Тестирование совместимости,,,,,,,,,
,ТК-13,High,Форма авторизации,Успешная авторизация с использованием валидных данных в браузере Google Chrome,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": user5@yandex.ru
    
2. Поле ""Пароль"": user535
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в системе. Отображен личный кабинет пользователя",
,ТК-14,High,Форма авторизации,Неуспешная авторизация с использованием невалидных данных в браузере Google Chrome,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
","1. Поле ""Логин"": user5!@yandex.ru
    
2. Поле ""Пароль"": ""     ""
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Сообщение об ошибке: ""Некорректный адрес электронной почты""; 
2. Сообщение об ошибке: ""Поле ""Пароль"" должно быть заполнено"";
3. Авторизация не выполнена",
,ТК-15,Medium,Форма авторизации,Успешная авторизация с использованием валидных данных в браузере Firefox,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": user5@yandex.ru
    
2. Поле ""Пароль"": user535
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в системе. Отображен личный кабинет пользователя",
,ТК-16,Medium,Форма авторизации,Неуспешная авторизация с использованием невалидных данных в браузере Firefox,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
","1. Поле ""Логин"": user5!@yandex.ru
    
2. Поле ""Пароль"": ""     ""
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Сообщение об ошибке: ""Некорректный адрес электронной почты""; 
2. Сообщение об ошибке: ""Поле ""Пароль"" должно быть заполнено"";
3. Авторизация не выполнена",
,ТК-17,High,Форма авторизации,Успешная авторизация с использованием валидных данных в браузере Safari,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
3. Пользователь зарегистрирован в системе","1. Поле ""Логин"": user5@yandex.ru
    
2. Поле ""Пароль"": user535
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Пользователь авторизован в системе. Отображен личный кабинет пользователя",
,ТК-18,High,Форма авторизации,Неуспешная авторизация с использованием невалидных данных в браузере Safari,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
","1. Поле ""Логин"": user5!@yandex.ru
    
2. Поле ""Пароль"": ""     ""
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Войти""
","1. Сообщение об ошибке: ""Некорректный адрес электронной почты""; 
2. Сообщение об ошибке: ""Поле ""Пароль"" должно быть заполнено"";
3. Авторизация не выполнена",
Тестирование безопасности,,,,,,,,,
,ТК-19,High,Форма авторизации,Появление CAPTCHA при вводе невалидного пароля,"1. Открыт сайт ""Название""
2. Открыта форма авторизации пользователя
","1. Поле ""Логин"": user5@yandex.ru
    
2. Поле ""Пароль"": user5355
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Войти"" 5 раз

","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Авторизация не выполнена. После третьей неверной попытки появляется CAPTCHA
",
,ТК-20,High,Форма авторизации,Появление ошибки при многократном вводе невалидного пароля,,"1. Поле ""Логин"": user5@yandex.ru
    
2. Поле ""Пароль"": user5355
   ","1. Ввести значение из тестовых данных в поле ""Логин""; 
2. Ввести значение из тестовых данных в поле ""Пароль"";
3. Нажать кнопку ""Войти"" три раза
4. Через секунду нажать повторно кнопку ""Войти""
5. Через секунду нажать повторно кнопку ""Войти""","1. Введенное значение отображено в поле ""Логин"";
2. Введенное значение отображено в поле ""Пароль"";
3. Сообщение об ошибке: ""Превышена частота запросов, ждите 3 сек."" Появляется CAPTCHA
5. Сообщение об ошибке: ""Превышена частота запросов, ждите 7 сек."" Появляется CAPTCHA
6. Сообщение об ошибке: ""Превышена частота запросов, ждите 10 сек."" Появляется CAPTCHA",
